Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_Y 	
-4.39999961853027 	-0.00680000025386107 	-4.39999961853027 	0 	
-4.30000114440918 	-0.00789999940025155 	-4.30000114440918 	0 	
-4.20000076293945 	-0.00840000092648552 	-4.20000076293945 	0 	
-4.10000038146973 	-0.00990000010642689 	-4.10000038146973 	0 	
-4 	-0.00759999998263083 	-4 	0 	
-3.89999961853027 	-0.00789999999324209 	-3.89999961853027 	0 	
-3.80000114440918 	-0.0057000004198926 	-3.80000114440918 	0 	
-3.70000076293945 	-0.00839999943491421 	-3.70000076293945 	0 	
-3.60000038146973 	-0.00919999980760622 	-3.60000038146973 	0 	
-3.5 	-0.0114999998222629 	-3.5 	0 	
-3.39999961853027 	-0.0148000005210633 	-3.39999961853027 	0 	
-3.30000114440918 	-0.0177999988482043 	-3.30000114440918 	0 	
-3.20000076293945 	-0.0194999985287723 	-3.20000076293945 	0 	
-3.10000038146973 	-0.0200999985536328 	-3.10000038146973 	0 	
-3 	-0.012500000269938 	-3 	0 	
-2.89999961853027 	-0.012900000969239 	-2.89999961853027 	0 	
-2.80000114440918 	-0.015399998279463 	-2.80000114440918 	0 	
-2.70000076293945 	-0.017200000671437 	-2.70000076293945 	0 	
-2.60000038146973 	-0.0240000000012515 	-2.60000038146973 	0 	
-2.5 	-0.0308000027325761 	-2.5 	0 	
-2.39999961853027 	-0.0323000007410883 	-2.39999961853027 	0 	
-2.30000114440918 	-0.0404000031121541 	-2.30000114440918 	0 	
-2.20000076293945 	-0.0610000017077255 	-2.20000076293945 	0 	
-2.10000038146973 	-0.0632999990593817 	-2.10000038146973 	0 	
-2 	-0.0661000018262712 	-2 	0 	
-1.89999961853027 	-0.0688000022055348 	-1.89999961853027 	0 	
-1.80000114440918 	-0.0674999979019049 	-1.80000114440918 	0 	
-1.70000076293945 	-0.0724000041263935 	-1.70000076293945 	0 	
-1.60000038146973 	-0.0757999995512364 	-1.60000038146973 	0 	
-1.5 	-0.0689999952592188 	-1.5 	0 	
-1.39999961853027 	-0.0720999978584587 	-1.39999961853027 	0 	
-1.30000114440918 	-0.0720999978584587 	-1.30000114440918 	0 	
-1.20000076293945 	-0.0746000031467702 	-1.20000076293945 	0 	
-1.10000038146973 	-0.0792000072033261 	-1.10000038146973 	0 	
-1 	-0.0746000031467702 	-1 	0 	
-0.899999618530273 	-0.0720999978584587 	-0.899999618530273 	0 	
-0.80000114440918 	-0.069100001193874 	-0.80000114440918 	0 	
-0.700000762939453 	 	-0.700000762939453 	0 	
-0.600000381469727 	 	-0.600000381469727 	0 	
-0.5 	 	-0.5 	0 	
-0.399999618530273 	 	-0.399999618530273 	0 	
-0.30000114440918 	 	-0.30000114440918 	0 	
-0.200000762939453 	 	-0.200000762939453 	0 	
-0.100000381469727 	 	-0.100000381469727 	0 	
0 	 	0 	0 	
0.100000381469727 	 	0.100000381469727 	0 	
0.19999885559082 	 	0.19999885559082 	3.54911113080681E-05 	
0.299999237060547 	 	0.299999237060547 	7.09746430095419E-05 	
0.399999618530273 	 	0.399999618530273 	0.000106449724860568 	
0.5 	 	0.5 	0.000141916355085467 	
0.600000381469727 	 	0.600000381469727 	0.000177374537331721 	
0.69999885559082 	 	0.69999885559082 	0.000212823596938577 	
0.799999237060547 	 	0.799999237060547 	0.000248264884921088 	
0.899999618530273 	 	0.899999618530273 	0.000283697725606646 	
0.999998092651367 	 	0.999998092651367 	0.000319121468718409 	
1.10000038146973 	 	1.10000038146973 	0.000354538122243462 	
